bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
2,1,1,4,"Near Pawan Prakriti School, Imadol, Lalitpur",3,5,,,20,Gravelled,2,2258,14200000
5,5,3,2,"Na, Hattigauda, Kathmandu",5,,,,13,Gravelled,1,911.25,33400000
6,3,3,1,"Kavresthali, Balaju, Kavresthali, Kathmandu",3,2,,,0,Soil Stabilized,2,1231.25,19000000
5,6,N/A,0,"Na, Budhanilkantha, Kathmandu",11,,,,13,Gravelled,1,2004.75,60000000
5,6,3,3,"Na, Greenhill city, Mulpani, Kathmandu",8,,,,20,Blacktopped,1,1458,49800000
3,1,2,1,"Badikhel (Godawari), Godawari, Lalitpur",0,5,0,0,16,Blacktopped,2,1711.25,12500000
4,5,2.5,1,"Nakkhu, Lalitpur, Nakkhu, Lalitpur",4,2,,,15,Soil Stabilized,1,1413.5,29000000
3,2,N/A,0,"Green Valley Homes, Lamatar, Lalitpur",4,,,,20,Blacktopped,0.166666667,729,15500000
4,2,3,2,"Nayabato, Dhobighat, Lalitpur",8,,,,20,Soil Stabilized,2,1458,40000000
6,6,3,2,"NA, Bansbari, Kathmandu",6,,,,10,Blacktopped,1,1093.5,36000000
2,1,1,1,"Tikathali, Tikathali, Lalitpur",3,,,,13,Soil Stabilized,2,546.75,12500000
7,7,3,1,"Man, Ekatabasti, Kathmandu",4,,,,13,Blacktopped,2,729,29900000
0,3,N/A,3,"Bhudanilkantha, Budhanilkantha, Kathmandu",8,,,,20,Blacktopped,0.5,1458,42000000
6,6,3,1,"NA, Bhangal, Kathmandu",4,,,,14,Blacktopped,2,729,24000000
4,2,2,0,"Bhutkhel Park, Tokha, Kathmandu",0,3,1,0,13,Soil Stabilized,2,1112.31,14200000
4,4,2.5,1,"Ramkot, Sitapaila, Kathmandu",0,4,0,0,13,Blacktopped,2,1369,24000000
6,5,3,1,"Na, Baniyatar, Kathmandu",4,,,,20,Gravelled,2,729,29000000
8,3,3,1,"Gaurighat Chowk, Gaurighat, Kathmandu",0,3,0,0,12,Blacktopped,0.916666667,1026.75,25000000
6,4,2.5,2,"Suncity Apartment, Kadaghari, Kathmandu",0,3,1,0,13,Blacktopped,1,1112.31,21000000
5,3,3,5,"Nakhu, Lalitpur, Lalitpur",0,4,0,0,16,Gravelled,1,1369,34000000
8,6,3,4,"Near, Pipalbot, Dhumbarahi, Kathmandu",0,4,1,2,13,Gravelled,2,1497.34,32500000
7,8,4,1,"Na, Chapali, Kathmandu",5,,,,13,Gravelled,2,911.25,24000000
6,5,3,3,"NA, Budhanilkantha, Kathmandu",8,1,,,15,Blacktopped,2,1800.25,44500000
0,3,3,2,"Sukedhara, Jyoti Nagar, Budhanilkantha, Kathmandu",3,5,,,13,Paved,2,2258,22500000
4,3,N/A,0,"Brihat Cluster, Balkhu, Kathmandu",0,3,1,2,20,Soil Stabilized,2,1155.09,22835000
3,1,1,1,"Suryavinayak,Bhaktapur, Bhaktapur, Bhaktapur",4,,,,8,Soil Stabilized,1,729,8000000
4,3,2,2,"25, Grande Villa, Grande Villa, Kathmandu",0,4,3,2,16,Paved,0.083333333,1668.46,39000000
4,4,3,1,"Shanti Chowk, Nakhipot, Lalitpur",3,0,0,,19,Gravelled,0.083333333,546.75,29000000
5,7,3,3,"NA, Budhanilkantha, Kathmandu",8,,,,20,Gravelled,1,1458,45000000
6,6,3,2,"na, Basundhara, Kathmandu",8,,,,15,Blacktopped,2,1458,45000000
7,5,N/A,0,"Nearby Hariyali Basti, Balambu, Kathmandu",5,,,,14,Gravelled,2,911.25,20500000
6,2,3,1,"Thankot, Thankot, Kathmandu",0,3,0,0,23,Blacktopped,2,1026.75,13000000
0,4,2,1,"House for sale in Machha Pokhari, Machha Pokhari, Kathmandu",4,,,,13,Gravelled,0.166666667,729,20000007
4,6,3.5,1,"Swargadwari-07, Basundhara, Kathmandu",0,5,1,0,15,Soil Stabilized,0.916666667,1796.81,36000000
4,3,2,0,"Nilkantha Nagarpalika -3, Dhading, Dhading",0,4,0,2,7,Gravelled,2,1411.78,10000000
4,4,N/A,3,"Pasikot, Pasikot, Kathmandu",0,7,2,0,0,Gravelled,0.333333333,2566.87,55000000
5,5,N/A,2,"Kapurdhara, Kapurdhara, Kathmandu",4,,,,13,Blacktopped,2,729,32000000
5,5,3,1,"Na, Hattigauda, Kathmandu",6,,,,13,Blacktopped,2,1093.5,45000000
4,4,2.5,1,"Mahalaxmi-05, Imadol, Lalitpur",0,3,0,0,13,Gravelled,1,1026.75,19500000
3,4,N/A,2,"House no.21 , Civil homes, Khumaltar, Lalitpur",0,3,2,1,13,Paved,0.083333333,1219.26,36500000
7,3,N/A,1,"Seuchatar, kalanki, Kalanki, Kathmandu",0,3,,,10,Gravelled,1,1026.75,19000000
4,4,2,1,"hepali hight house sale, Budhanilkantha, Kathmandu",0,4,2,0,13,Blacktopped,1,1540.12,43000000
4,3,N/A,1,"Suryadarsan Height, Tokha, Kathmandu, Tokha, Kathmandu",3,,,,12,Paved,2,546.75,16000000
4,3,N/A,2,"Dhapasi Height, Dhapasi, Kathmandu",7,,,,15,Gravelled,1,1275.75,37500000
3,6,3,6,"Basuki Basti, Gwarko, Lalitpur",12,,,,13,Blacktopped,0.333333333,2187,60000000
